sample,strategy,imputation,upstream,rmse_test,best_st_rmse,abs_gain,pct_gain,positive_gain
10,MLP,Ground Truth,2,0.8607894778251648,1.5134135484695435,0.6526240706443787,0.4312265284689384,True
10,MLP,Ground Truth,2,0.8607894778251648,1.0240155458450317,0.16322606801986694,0.15939803715105766,True
10,MLP-E2E,Ground Truth,2,1.6034351587295532,1.2506792545318604,-0.35275590419769287,-0.2820514555746208,False
10,MLP-E2E,Ground Truth,2,1.6034351587295532,2.3048484325408936,0.7014132738113403,0.30432078045066663,True
10,MLP-E2E,Ground Truth,2,1.6034351587295532,1.193615436553955,-0.40981972217559814,-0.34334318208783743,False
10,MLP-E2E,Ground Truth,2,1.6034351587295532,0.9231284856796265,-0.6803066730499268,-0.7369577297239082,False
10,MLP-E2E,Ground Truth,2,1.6034351587295532,2.2053229808807373,0.6018878221511841,0.2729250215815594,True
10,MLP-E2E,Ground Truth,2,1.6034351587295532,1.4254111051559448,-0.1780240535736084,-0.12489312937837113,False
10,MLP-E2E,Ground Truth,2,1.6034351587295532,1.332672119140625,-0.2707630395889282,-0.20317303536261422,False
10,MLP-E2E,Ground Truth,2,1.6034351587295532,1.6385304927825928,0.03509533405303955,0.021418786044951652,True
10,MLP-E2E,Ground Truth,2,1.6034351587295532,2.6369059085845947,1.0334707498550415,0.3919255315445726,True
10,MLP-E2E,Ground Truth,2,1.6034351587295532,1.2100178003311157,-0.3934173583984375,-0.3251335296809524,False
10,MLP-E2E,Ground Truth,2,1.6034351587295532,1.5134135484695435,-0.09002161026000977,-0.05948249264125138,False
10,MLP-E2E,Ground Truth,2,1.6034351587295532,1.0240155458450317,-0.5794196128845215,-0.565830875552164,False
10,LH,Ground Truth,2,0.8406581878662109,1.2506792545318604,0.4100210666656494,0.3278387045918689,True
10,LH,Ground Truth,2,0.8406581878662109,2.3048484325408936,1.4641902446746826,0.6352653059535638,True
10,LH,Ground Truth,2,0.8406581878662109,1.193615436553955,0.35295724868774414,0.29570432643427813,True
10,LH,Ground Truth,2,0.8406581878662109,0.9231284856796265,0.08247029781341553,0.08933783226578602,True
10,LH,Ground Truth,2,0.8406581878662109,2.2053229808807373,1.3646647930145264,0.6188049572990536,True
10,LH,Ground Truth,2,0.8406581878662109,1.4254111051559448,0.5847529172897339,0.4102345738535269,True
10,LH,Ground Truth,2,0.8406581878662109,1.332672119140625,0.49201393127441406,0.36919353545993727,True
10,LH,Ground Truth,2,0.8406581878662109,1.6385304927825928,0.7978723049163818,0.48694382462264435,True
10,LH,Ground Truth,2,0.8406581878662109,2.6369059085845947,1.7962477207183838,0.681195227660797,True
10,LH,Ground Truth,2,0.8406581878662109,1.2100178003311157,0.3693596124649048,0.3052513875116806,True
10,LH,Ground Truth,2,0.8406581878662109,1.5134135484695435,0.6727553606033325,0.4445284379036146,True
10,LH,Ground Truth,2,0.8406581878662109,1.0240155458450317,0.1833573579788208,0.17905720154620483,True
10,LH-E2E,Ground Truth,2,1.1641244888305664,1.2506792545318604,0.08655476570129395,0.06920620565797432,True
10,LH-E2E,Ground Truth,2,1.1641244888305664,2.3048484325408936,1.1407239437103271,0.49492362604198614,True
10,LH-E2E,Ground Truth,2,1.1641244888305664,1.193615436553955,0.029490947723388672,0.0247072439080806,True
10,LH-E2E,Ground Truth,2,1.1641244888305664,0.9231284856796265,-0.24099600315093994,-0.26106442048910844,False
10,LH-E2E,Ground Truth,2,1.1641244888305664,2.2053229808807373,1.041198492050171,0.4721297066583638,True
10,LH-E2E,Ground Truth,2,1.1641244888305664,1.4254111051559448,0.2612866163253784,0.1833061461218185,True
10,LH-E2E,Ground Truth,2,1.1641244888305664,1.332672119140625,0.1685476303100586,0.1264734422588106,True
10,LH-E2E,Ground Truth,2,1.1641244888305664,1.6385304927825928,0.47440600395202637,0.28953138561759595,True
10,LH-E2E,Ground Truth,2,1.1641244888305664,2.6369059085845947,1.4727814197540283,0.558526345198479,True
10,LH-E2E,Ground Truth,2,1.1641244888305664,1.2100178003311157,0.045893311500549316,0.03792779865551633,True
10,LH-E2E,Ground Truth,2,1.1641244888305664,1.5134135484695435,0.34928905963897705,0.2307955152061375,True
10,LH-E2E,Ground Truth,2,1.1641244888305664,1.0240155458450317,-0.14010894298553467,-0.13682306245645406,False
20,MLP,Ground Truth,2,0.9029563069343567,0.8347322344779968,-0.06822407245635986,-0.08173168548956787,False
20,MLP,Ground Truth,2,0.9029563069343567,1.4177229404449463,0.5147666335105896,0.3630939578004094,True
20,MLP,Ground Truth,2,0.9029563069343567,0.8109623789787292,-0.09199392795562744,-0.11343797238964196,False
20,MLP,Ground Truth,2,0.9029563069343567,0.7352975606918335,-0.1676587462425232,-0.22801482720107882,False
20,MLP,Ground Truth,2,0.9029563069343567,1.5152157545089722,0.6122594475746155,0.4040741034751365,True
20,MLP,Ground Truth,2,0.9029563069343567,1.1872881650924683,0.2843318581581116,0.23948007444003055,True
20,MLP,Ground Truth,2,0.9029563069343567,1.0810149908065796,0.1780586838722229,0.16471435214729785,True
20,MLP,Ground Truth,2,0.9029563069343567,1.0402634143829346,0.13730710744857788,0.13199263335626002,True
20,MLP,Ground Truth,2,0.9029563069343567,1.9409770965576172,1.0380207896232605,0.5347929099545906,True
20,MLP,Ground Truth,2,0.9029563069343567,1.0606045722961426,0.1576482653617859,0.14864000163650742,True
