feature,importance_global,importance_mean,importance_median,importance_variance
bpol,0.11646214573752411,0.2397307351692913,0.24227981294054787,0.012358941458027146
Radius,0.11639969648139825,0.25379696345460606,0.2717024060790515,0.00937671038613973
PEOE_VSA2,0.11627315522000936,0.25235656067616163,0.25494566985766365,0.010043148097614028
SpMAD_A,0.11607436825592155,0.2016239612441646,0.20659981156149504,0.013092586296904163
Mor25p,0.11588583576231803,0.20992474092998084,0.22131167440948912,0.012869605608164851
ATSC5pe,0.11588550017778232,0.21027997582644373,0.21300713973173116,0.011876371776164034
PEOE_VSA6,0.11564460135876597,0.17735377774594765,0.18315142529150227,0.012797856158322796
ETA_eta_F,0.11557718664866456,0.2049304213483278,0.2077087071518425,0.009360037388207797
MATS1dv,0.1152497485005215,0.2201442457221531,0.2252739044289328,0.00863238844184653
ATSC6v,0.11501330233138018,0.21569491597316337,0.2165415353864032,0.009855161787102058
AATS5d,0.11488122549383029,0.18974176953651858,0.1967045584329285,0.010784554488203112
AATS1d,0.11425281124117959,0.170982739982969,0.175615441381624,0.011594120792865984
Kier2,0.1136238759077548,0.2756345593749096,0.26951496531684194,0.013616611080823019
AATS4v,0.11262868117215108,0.2785155696837961,0.2840212365651028,0.01171316207785419
MATS3i,0.11251181666386945,0.2354279180951634,0.24262880088560856,0.01165331140872792
Xpc-6dv,0.11224948344342822,0.28619989542001417,0.28703323408926523,0.010070573834366173
MATS8se,0.11217559479584516,0.21127279875046076,0.21304577888145843,0.00861673512263434
ATSC2v,0.11203773448171894,0.20775937048831072,0.22101507174252621,0.012116683307849643
GATS1i,0.11197524406029391,0.1799689062140418,0.18783964269325437,0.010506155470019802
Mor23m,0.11196881204719311,0.2488556137050915,0.24817067701803674,0.010796480059306609
ATS6dv,0.11180610908634492,0.1983815755662326,0.19968529793383463,0.009982953264430886
ATS2d,0.11132445285191395,0.19140009244032133,0.1866062170688343,0.009183919147200908
MAXaasC,0.11084000413450079,0.2451890102709803,0.25228786497752054,0.012426222266498423
ATSC1p,0.1106524586402533,0.26342385818381675,0.2561002889622175,0.011423242675116168
SdS,0.11043039802886079,0.229224398223222,0.22777906798858172,0.0069362869049921245
Mor08p,0.11017213737323495,0.1505970813177902,0.16155540688853212,0.010619036154467769
AETA_eta_BR,0.1101345220159895,0.24279177449759662,0.22571128698415735,0.011129445439399229
ETA_eta_L,0.10957760582486564,0.23705292333984668,0.23286627944534422,0.010279393592080788
Xc-5d,0.10955359000580644,0.19862458199699407,0.20288529425210253,0.009146590564463064
SpMAD_Dzp,0.10931339830561004,0.230941511070611,0.23030075849340237,0.0104487449973803
GATS6c,0.10896332100221473,0.22466088996492975,0.22545397083290983,0.012024188976816624
Kier3,0.10796148566302488,0.2274456320394154,0.22841310317442393,0.012182810526340059
AATSC0c,0.10782473413950866,0.22100955457445218,0.21126454518891882,0.010628842347599084
GATS2v,0.10779961768728885,0.21416185182537084,0.2150318293077477,0.013215859426923455
FNSA3,0.1077485925230941,0.21373697569111905,0.21884423161691927,0.011837295419138569
DPSA3,0.10748589188027635,0.27093350874183725,0.26943654712415144,0.016494527566438436
AATS2i,0.10694383777319239,0.2782924268158971,0.2681278533307425,0.01210502707403998
RPCS,0.10604944878839939,0.2307209424615339,0.22887181318421995,0.014903901823873507
BCUTd-1h,0.10599958519877584,0.22947373337330437,0.22877213012672196,0.010762044219438601
PNSA1,0.10597448976997859,0.2066109805494953,0.2036155792321007,0.015790652784726186
GGI9,0.10564394408526212,0.20108770949685825,0.19433340771787794,0.011172763778462403
ATSC3i,0.10560214222803754,0.2363972499433148,0.22258990300243392,0.014177139602175334
AATS3s,0.10520717895295251,0.19718395269599187,0.2028475984600672,0.01096777004409043
CIC2,0.10509172980109316,0.19708476366129496,0.2021280962224714,0.009863521007806143
AATSC1c,0.10476372398453915,0.28283440950921024,0.2682693090144485,0.011380620056242302
AATSC4i,0.10460511012505114,0.1457859867490886,0.1515807032470723,0.010423685101891593
ATSC7i,0.10453500891655665,0.19697713906465228,0.19578169121484776,0.011271517193712778
AATS7se,0.10448119626719032,0.29340495649403636,0.2836513393267611,0.017196222367863705
AATS1s,0.1039432637303217,0.20629172927423253,0.20718813194549507,0.011813344060014913
Mor07p,0.10375143563315614,0.1487036130955912,0.1514800399654415,0.007364062809668795
AATS0s,0.10358182517724135,0.19826291136559282,0.20189015450443465,0.011472472282070373
AATS1dv,0.10354298332061607,0.1853906782513443,0.19092766843808803,0.011612522221593834
AATS0d,0.10350989230041208,0.17558276331183478,0.1793918586759953,0.010576362743954666
GATS5p,0.10347104124177253,0.2129067645753154,0.20643872844402822,0.012454185281628026
MATS6p,0.10346274095591523,0.23961711009204617,0.2346436043567127,0.01257569225109015
AATS4se,0.10346129483886024,0.1882196054786434,0.18975648238116422,0.012439035599013793
AATSC2s,0.1031612024743751,0.18884023175840875,0.20967717655480667,0.010542349618779527
ATSC7d,0.10284732193209711,0.2278917203426444,0.22847981203311193,0.01507854097229542
PPSA2,0.10199500788128901,0.20846893130434113,0.2055142224353019,0.013240860631978693
BCUTdv-1l,0.10194265091855836,0.15393112023508332,0.15662115302083335,0.006989349643543283
Mor11se,0.10172829624405333,0.24251275992124202,0.24894587567537957,0.014912464968625935
AATS6v,0.1014973184681498,0.18761586412995956,0.1869736484765248,0.013205019351320374
Mp,0.10129895637713826,0.1863607198882576,0.1875750937810099,0.01111386381427593
AATS7d,0.10127066369848103,0.24896628375202026,0.24274503031446196,0.011155178733588554
ATSC5p,0.10088722797914684,0.15868653075132955,0.15620165377948142,0.009522101486959623
piPC1,0.10027025268664813,0.21107651982759779,0.20450138105199264,0.00957951062483546
ATSC4d,0.10006776579414023,0.21489899469335422,0.22624521863320915,0.01395660671914806
MATS1are,0.09986223967841035,0.1971969301396428,0.2005427903761147,0.011123788733013541
ATSC4c,0.09969708751314244,0.29103882125883124,0.2695865350595609,0.015878558270143547
PNSA2,0.09961623386029661,0.21526027239715972,0.2083488775297238,0.011729955229539596
Xp-6dv,0.09958882373321964,0.20603136230599586,0.20405425069769131,0.011510404261987333
Mor30se,0.09940164099492632,0.19240095940891805,0.1731217980876411,0.00860259545368976
MR,0.09939795896635983,0.262510506636321,0.24029554957855842,0.014920529492863387
MATS3p,0.09922617253040045,0.253024528907469,0.24535512449791713,0.01394114914973813
ATSC1s,0.09916101012499201,0.18456087644819016,0.18100914695720555,0.012291286553068955
SpMAD_Dzv,0.09905028584239561,0.27290198626721973,0.25355742891256217,0.010603074529737766
CIC1,0.09895502894191655,0.2184943011567057,0.20709561427120132,0.010818524033838591
AMID_O,0.0989403006674423,0.16076300455786655,0.16521881227350807,0.0074056901365033715
Rotatable_bonds,0.098928540196773,0.21544046230683203,0.2123562480669199,0.008575383734236936
MIC0,0.0983760079872984,0.21032506949007193,0.20545036610361814,0.009899946349682423
MOMI-Z,0.09836395650759444,0.1717922552051353,0.1690817060010386,0.010031191308947971
FPSA4,0.0981572185538635,0.19821865443530937,0.201670054976425,0.01221145238018608
ATS8p,0.0976687680811037,0.183424955110553,0.1905121945587888,0.00955581125961799
Xc-3dv,0.09763456746383614,0.2233182652877523,0.22072261138324853,0.007451389031341426
EState_VSA2,0.0976232307592011,0.14390842541773088,0.16014231237300025,0.008409328634499379
ATS7dv,0.0975415303015077,0.1936284387525758,0.1961417176355881,0.009663394746450246
GGI1,0.09737399159040905,0.2103837696646273,0.20900798084220615,0.015600655191643225
Mor25m,0.09733232691670768,0.1962040100997923,0.20720477083827496,0.009468683764503123
Mor26v,0.09719928926615884,0.1989381525412533,0.19342855540910722,0.01047284506591531
GGI4,0.09682744394791687,0.1870450515842563,0.19874221090651806,0.009516895221992618
BCUTs-1h,0.09661945242291026,0.13525684446203204,0.13920690072574962,0.009344684214589609
GATS8d,0.09643601710647731,0.17727380549318386,0.17607247595482567,0.010166034405537311
ATSC6i,0.09629527256015358,0.18313275356236206,0.19109553335422105,0.007620579473492392
Mor20m,0.09613349336104404,0.23424283124776418,0.23790480899053046,0.011459864862198958
SRW10,0.09612955193246542,0.17576081213853084,0.1773692099669741,0.010350411498587649
Mor06p,0.09604336871233432,0.1746869665877881,0.19105956840113825,0.010066812593059117
ATS5dv,0.09597200073256218,0.2367578159709891,0.23215632515757323,0.012022149104583834
ATSC5are,0.09582226759421264,0.16388696012346768,0.16487419791856375,0.010988148909142728
Xp-3dv,0.09563437493525084,0.205172898941584,0.20514642375775577,0.008700939756463707
AATSC1s,0.0953556947722034,0.1623471675978021,0.16099395942773984,0.010383749387292338
Mor11,0.09530762460727926,0.24825757880088672,0.23633300802944426,0.015799471278991704
AATSC5pe,0.0950918414520796,0.22279802355743492,0.21526504816493974,0.012799082928316524
GATS6p,0.09505143464984434,0.19834284497221868,0.20837581068088215,0.011084122620990707
WPSA4,0.09500985701308551,0.22115302671577342,0.21070833743321177,0.012952949233334482
C3SP2,0.09496090708570293,0.17078596895006676,0.1760517996495299,0.008762102292565953
