sample,strategy,imputation,upstream,mean_gain,std_gain,prob_positive,n_runs,mean_rmse,mean_best,profile,cluster
10,MLP-E2E,Mean,3,-0.37020335514969666,0.4137607966454663,0.25,120,1.931417953968048,1.5548800925413768,Unstable,0
10,MLP-E2E,Mean,4,-0.4790718472034054,0.4379727568519801,0.24166666666666667,120,2.084877336025238,1.5548800925413768,Unstable,0
10,MLP-E2E,Pseudo-Feature,2,0.3282106060095643,0.1977946020053683,0.9333333333333333,120,0.9469441831111908,1.5548800925413768,Consistent Positive,3
10,MLP-E2E,Pseudo-Feature,3,-0.37297197320641046,0.4137471057714153,0.25,120,1.9353205561637878,1.5548800925413768,Unstable,0
10,MLP-E2E,Pseudo-Feature,4,0.03663108624479368,0.2889899240770656,0.525,120,1.3579502701759338,1.5548800925413768,Unstable,3
20,LH,Gaussian,2,-0.2614783508336323,0.3361938727673012,0.23333333333333334,120,1.3304235100746156,1.132521390914917,Unstable,0
20,LH,Gaussian,3,-0.7064054682572716,0.42776475671119685,0.08333333333333333,120,1.7996677875518798,1.132521390914917,Consistent Negative,0
20,LH,Gaussian,4,-0.662225733186273,0.41531999623453963,0.08333333333333333,120,1.7530734419822693,1.132521390914917,Consistent Negative,0
20,LH,Ground Truth,2,0.18209429161249954,0.20394402169339634,0.75,120,0.8626077353954316,1.132521390914917,Unstable,3
20,LH,Ground Truth,3,0.11988089686894586,0.24029235690690742,0.7166666666666667,120,0.9282213568687439,1.132521390914917,Unstable,3
20,LH,Ground Truth,4,0.1202859005025403,0.2314968995471416,0.7083333333333334,120,0.9277942180633545,1.132521390914917,Unstable,3
20,LH,Mean,2,-0.4575559358154124,0.3633723660703566,0.08333333333333333,120,1.5372175693511962,1.132521390914917,Consistent Negative,0
20,LH,Mean,3,-0.388978899861707,0.3463367733191253,0.16666666666666666,120,1.4648925065994263,1.132521390914917,Consistent Negative,0
20,LH,Mean,4,-0.7611989977237699,0.4390871902851127,0.08333333333333333,120,1.8574560165405274,1.132521390914917,Consistent Negative,0
20,LH,Pseudo-Feature,2,-0.0016433307840518741,0.24970978120121126,0.5,120,1.0563874006271363,1.132521390914917,Unstable,3
20,LH,Pseudo-Feature,3,0.006196723926093907,0.2492755595004126,0.5333333333333333,120,1.0481188535690307,1.132521390914917,Unstable,3
20,LH,Pseudo-Feature,4,-0.04510937283981839,0.26126745599842094,0.3416666666666667,120,1.1022290468215943,1.132521390914917,Unstable,0
20,LH-E2E,Gaussian,2,-0.16447972626659899,0.29312486169652185,0.26666666666666666,120,1.2281234979629516,1.132521390914917,Unstable,0
20,LH-E2E,Gaussian,3,-0.4205310351069341,0.3587180283668662,0.13333333333333333,120,1.4981691002845765,1.132521390914917,Consistent Negative,0
20,LH-E2E,Gaussian,4,-0.4101983277690169,0.35504724147039585,0.15833333333333333,120,1.4872716665267944,1.132521390914917,Consistent Negative,0
20,LH-E2E,Ground Truth,2,0.1376361709398766,0.21924752465216849,0.7333333333333333,120,0.9094956815242767,1.132521390914917,Unstable,3
20,LH-E2E,Ground Truth,3,0.2600359302959971,0.18749153030480856,0.8833333333333333,120,0.780406254529953,1.132521390914917,Consistent Positive,3
20,LH-E2E,Ground Truth,4,0.16800607445703186,0.21170670489237436,0.7833333333333333,120,0.8774659335613251,1.132521390914917,Unstable,3
20,LH-E2E,Mean,2,-0.058075638035514264,0.26410721580013874,0.3333333333333333,120,1.1159039735794067,1.132521390914917,Unstable,0
20,LH-E2E,Mean,3,-0.04183190769519388,0.2682858697197883,0.4166666666666667,120,1.0987724542617798,1.132521390914917,Unstable,0
20,LH-E2E,Mean,4,-0.10148312970692033,0.27693253764348563,0.325,120,1.1616838693618774,1.132521390914917,Unstable,0
